1000 1000
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 2
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 3
1 1000 1
1 1000 1
1 1000 1
389 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 3
1 1000 1
1 1000 1
1 1000 1
389 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 2
1 1000 1
1 1000 1
969 1000 2
969 1000 3
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
895 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
389 1000 1
1 1000 1
969 1000 4
1 1000 1
1 1000 1
895 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 4
1 1000 1
1 1000 1
1 1000 1
1 1000 1
389 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 2
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 4
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 2
969 1000 4
1 1000 1
1 1000 1
1 1000 1
895 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
895 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 3
895 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
895 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 2
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 2
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 3
1 1000 1
1 1000 1
895 1000 1
1 1000 1
1 1000 1
1 1000 1
895 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
389 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
389 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 3
1 1000 1
1 1000 1
895 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
389 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 4
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
389 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 2
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 3
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
895 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
389 1000 1
969 1000 2
1 1000 1
969 1000 4
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
895 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
895 1000 1
1 1000 1
895 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 2
1 1000 1
1 1000 1
895 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 4
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
389 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
895 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 2
1 1000 1
1 1000 1
389 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
389 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 2
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 3
1 1000 1
1 1000 1
969 1000 4
1 1000 1
969 1000 4
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
389 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 3
969 1000 4
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
895 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
895 1000 1
1 1000 1
1 1000 1
969 1000 3
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
389 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 4
969 1000 3
1 1000 1
1 1000 1
1 1000 1
969 1000 3
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
956 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 2
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 2
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
389 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
895 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 2
1 1000 1
1 1000 1
1 1000 1
1 1000 1
895 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
895 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 4
1 1000 1
1 1000 1
1 1000 1
1 1000 1
895 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
389 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
389 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
895 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 3
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 2
956 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 3
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
389 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 4
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
956 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
969 1000 2
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1000
