1000 1000
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
960 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
87 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
87 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 4
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 2
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 2
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
960 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 2
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 3
87 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 3
87 1000 1
1 1000 1
1 1000 1
87 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 3
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
145 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 4
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 2
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 3
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 4
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 3
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 3
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
960 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 3
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 2
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
145 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
960 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
960 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
87 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
87 1000 1
960 1000 1
980 1000 4
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 4
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 4
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
145 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
145 1000 1
980 1000 2
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
145 1000 1
1 1000 1
1 1000 1
1 1000 1
87 1000 1
1 1000 1
87 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 3
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 3
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 4
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
87 1000 1
980 1000 3
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
87 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
145 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
960 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
87 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 4
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
87 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
87 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
87 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
145 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
145 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 4
1 1000 1
87 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 2
1 1000 1
1 1000 1
1 1000 1
145 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 2
1 1000 1
1 1000 1
980 1000 4
1 1000 1
145 1000 1
1 1000 1
960 1000 1
87 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
87 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 3
1 1000 1
1 1000 1
145 1000 1
87 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 2
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 4
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
145 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
87 1000 1
980 1000 4
1 1000 1
1 1000 1
1 1000 1
980 1000 2
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
87 1000 1
1 1000 1
980 1000 4
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 2
1 1000 1
1 1000 1
1 1000 1
980 1000 4
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
980 1000 3
1 1000 1
87 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
145 1000 1
1 1000 1
1 1000 1
87 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1 1000 1
1000
