1000 1000
335 580 1
126 931 1
155 211 1
572 946 51
953 982 54
285 425 1
377 992 1
780 871 53
122 791 1
23 237 1
222 473 1
124 181 1
368 398 1
456 819 1
207 830 1
463 805 1
863 869 54
121 254 1
174 230 1
615 734 52
227 750 1
233 523 1
763 941 54
429 471 1
805 953 55
294 872 1
367 577 1
296 414 1
773 945 55
334 793 1
214 979 1
596 836 54
393 878 1
329 381 1
82 231 1
127 924 1
499 758 1
876 882 57
471 921 1
539 788 62
426 650 1
305 778 1
193 263 1
258 828 1
795 997 59
885 970 62
278 851 1
706 766 58
865 947 65
479 882 1
765 882 55
597 818 65
846 867 53
280 352 1
391 438 1
478 597 1
422 915 1
300 885 1
262 802 1
184 249 1
80 529 1
476 779 1
67 532 1
286 631 1
132 514 1
38 40 1
787 841 51
559 651 63
462 550 1
129 564 1
198 704 1
136 860 1
979 990 51
135 497 1
295 395 1
112 247 1
967 988 65
69 803 1
954 989 51
115 349 1
395 769 1
855 950 61
726 816 60
189 885 1
628 948 58
17 452 1
212 983 1
75 878 1
895 944 53
205 821 1
771 777 60
301 956 1
293 518 1
70 350 1
312 521 1
104 556 1
410 890 1
588 852 64
221 276 1
617 623 65
208 708 1
7 394 1
38 475 1
294 323 1
378 421 1
214 391 1
608 662 50
267 307 1
579 943 53
238 254 1
533 772 65
105 861 1
73 822 1
77 443 1
352 679 1
34 916 1
213 941 1
181 695 1
426 884 1
789 869 61
273 311 1
2 93 1
244 861 1
57 827 1
472 504 1
198 276 1
52 218 1
139 747 1
114 597 1
43 620 1
457 947 1
515 997 61
586 808 61
499 583 1
8 987 1
999 1000 61
117 778 1
432 951 1
23 814 1
305 601 1
421 996 1
358 423 1
181 892 1
221 527 1
175 382 1
425 561 1
475 802 1
92 654 1
198 996 1
947 963 55
431 715 1
811 865 50
287 594 1
484 572 1
362 707 1
329 992 1
950 970 60
957 974 51
905 1000 63
275 869 1
19 485 1
584 873 62
107 774 1
430 811 1
653 697 64
447 755 1
71 119 1
73 342 1
157 789 1
435 646 1
