200 300
10 93 1
1 77 1
52 98 1
73 75 1
171 188 58
49 86 1
161 195 50
74 108 1
105 197 59
7 62 1
34 42 1
46 120 1
81 190 1
47 141 1
27 95 1
30 37 1
62 198 1
55 64 1
101 127 54
47 139 1
58 170 1
99 200 1
41 102 1
57 156 1
16 118 1
196 197 53
84 85 1
5 152 1
88 96 1
84 151 1
47 153 1
61 79 1
127 133 56
137 195 60
37 177 1
24 90 1
196 199 59
55 175 1
142 180 57
161 184 57
23 111 1
50 100 1
76 98 1
68 184 1
133 160 52
84 176 1
87 107 1
90 109 1
24 108 1
51 58 1
5 28 1
127 155 52
38 115 1
79 163 1
49 141 1
13 101 1
158 169 59
45 133 1
94 100 1
98 173 1
159 197 55
147 193 52
21 41 1
61 62 1
69 173 1
153 167 55
81 103 1
75 99 1
16 182 1
25 43 1
17 73 1
92 167 1
93 186 1
82 116 1
20 68 1
69 79 1
14 164 1
25 37 1
65 123 1
26 58 1
30 40 1
60 171 1
18 78 1
91 138 1
31 113 1
155 177 59
58 61 1
54 122 1
26 156 1
76 145 1
5 54 1
190 192 56
28 111 1
162 166 52
150 189 54
176 181 54
20 180 1
34 158 1
72 78 1
70 184 1
86 149 1
100 188 1
156 169 52
74 140 1
183 185 51
150 185 55
21 60 1
76 125 1
26 44 1
55 106 1
2 155 1
21 146 1
56 98 1
43 92 1
106 156 60
9 11 1
33 68 1
157 181 51
86 189 1
88 90 1
69 117 1
198 200 50
2 17 1
93 189 1
13 106 1
26 64 1
157 179 58
93 150 1
90 161 1
28 151 1
30 40 1
105 134 60
132 138 54
96 101 1
76 108 1
21 134 1
58 197 1
19 42 1
3 189 1
10 111 1
45 112 1
61 156 1
53 116 1
168 180 50
87 171 1
84 114 1
132 199 53
56 143 1
57 197 1
134 149 52
54 100 1
51 192 1
83 136 1
10 142 1
59 144 1
149 167 50
86 185 1
47 81 1
2 97 1
46 71 1
16 104 1
76 187 1
160 166 52
176 185 52
16 61 1
7 74 1
97 190 1
47 71 1
48 156 1
10 118 1
42 120 1
141 178 58
51 57 1
100 154 1
94 186 1
13 188 1
3 78 1
106 163 58
56 123 1
72 141 1
149 171 53
51 149 1
1 67 1
135 173 54
98 112 1
41 79 1
106 177 59
142 171 58
73 85 1
188 195 57
39 156 1
96 180 1
13 77 1
12 107 1
26 39 1
43 63 1
79 200 1
13 103 1
137 140 58
54 84 1
70 178 1
95 108 1
42 47 1
56 121 1
155 172 50
101 136 59
63 110 1
26 46 1
67 194 1
14 98 1
71 190 1
77 104 1
22 56 1
196 199 60
33 117 1
174 192 56
71 81 1
17 167 1
54 126 1
85 177 1
78 107 1
66 97 1
26 115 1
193 194 51
93 192 1
21 126 1
28 200 1
187 193 54
90 132 1
176 197 59
65 102 1
4 11 1
120 125 58
54 182 1
126 197 50
132 193 50
188 197 57
73 85 1
5 45 1
189 191 50
24 90 1
181 192 56
122 200 51
67 84 1
58 70 1
30 157 1
13 199 1
92 147 1
45 75 1
33 76 1
31 90 1
57 106 1
23 197 1
12 130 1
163 193 50
81 95 1
144 166 58
102 139 60
161 173 50
34 157 1
44 159 1
59 146 1
35 74 1
67 142 1
82 103 1
5 65 1
86 171 1
31 72 1
31 66 1
74 109 1
81 173 1
33 130 1
74 118 1
17 93 1
103 122 53
42 101 1
94 176 1
82 120 1
55 107 1
183 192 58
75 88 1
21 98 1
192 200 53
28 42 1
12 43 1
7 62 1
157 182 50
59 113 1
125 178 56
43 62 1
59 136 1
78 172 1
86 171 1
72 130 1
86 91 1
48 191 1
54 151 1
22 185 1
77 148 1
53 198 1
334
