1000 1000
527 773 100
746 844 100
472 763 100
880 934 100
775 882 100
789 950 100
252 670 100
123 996 100
97 346 100
384 425 100
524 797 100
556 788 100
584 883 100
29 253 100
840 966 100
190 780 100
691 843 100
679 765 100
570 703 100
407 996 100
660 760 100
78 170 100
223 261 100
412 917 100
474 935 100
412 641 100
689 711 100
560 884 100
466 572 100
315 561 100
467 853 100
794 923 100
997 1000 100
375 636 100
654 883 100
691 692 100
325 482 100
773 995 100
280 926 100
820 922 100
697 939 100
854 989 100
265 650 100
310 539 100
379 967 100
396 542 100
296 484 100
645 721 100
33 978 100
712 905 100
502 893 100
650 797 100
902 937 100
648 826 100
56 70 100
241 300 100
290 889 100
748 887 100
711 894 100
469 861 100
93 390 100
397 776 100
486 731 100
25 633 100
464 633 100
460 893 100
653 878 100
81 865 100
64 569 100
931 982 100
536 736 100
435 449 100
54 577 100
322 381 100
564 980 100
304 774 100
944 965 100
638 662 100
937 947 100
126 537 100
971 998 100
70 939 100
521 592 100
58 672 100
206 566 100
471 642 100
471 566 100
118 864 100
120 203 100
614 875 100
216 617 100
413 935 100
90 325 100
676 860 100
280 802 100
181 759 100
588 832 100
632 946 100
901 921 100
938 979 100
846 898 100
654 906 100
583 979 100
955 960 100
216 859 100
708 917 100
17 955 100
891 926 100
861 942 100
879 911 100
822 932 100
253 876 100
317 574 100
516 659 100
975 988 100
714 956 100
512 974 100
619 980 100
806 893 100
16 785 100
40 437 100
404 780 100
857 882 100
242 438 100
100 568 100
942 947 100
843 920 100
753 904 100
312 347 100
296 464 100
304 441 100
320 434 100
379 984 100
574 922 100
465 636 100
431 534 100
538 848 100
723 854 100
775 812 100
853 885 100
645 849 100
116 253 100
176 299 100
852 902 100
571 793 100
633 669 100
651 652 100
162 857 100
124 796 100
602 940 100
60 713 100
577 926 100
278 400 100
546 666 100
63 416 100
777 923 100
415 729 100
199 690 100
366 491 100
455 493 100
459 563 100
146 477 100
354 893 100
867 998 100
709 924 100
882 886 100
66 626 100
233 646 100
499 617 100
554 776 100
806 844 100
416 457 100
298 300 100
105 439 100
78 931 100
818 926 100
724 738 100
695 884 100
599 933 100
307 659 100
497 503 100
304 781 100
462 976 100
639 728 100
159 290 100
103 237 100
927 984 100
428 529 100
925 956 100
565 711 100
757 795 100
776 997 100
161 776 100
103 502 100
578 882 100
947 957 100
182 350 100
183 252 100
167 500 100
659 897 100
218 467 100
662 783 100
64 187 100
124 626 100
58 545 100
977 999 100
630 970 100
942 972 100
951 999 100
399 914 100
110 860 100
372 801 100
374 959 100
204 814 100
346 426 100
818 876 100
67 318 100
503 919 100
494 496 100
332 665 100
505 531 100
224 687 100
832 865 100
309 495 100
118 414 100
969 987 100
18 333 100
844 946 100
595 655 100
690 890 100
33 205 100
443 961 100
988 992 100
994 996 100
395 554 100
80 913 100
225 276 100
39 633 100
74 817 100
718 929 100
464 747 100
371 876 100
385 654 100
199 735 100
170 768 100
730 816 100
919 986 100
390 506 100
623 652 100
926 973 100
620 811 100
702 784 100
423 812 100
356 850 100
428 959 100
667 709 100
84 460 100
356 926 100
30 752 100
103 583 100
973 989 100
785 980 100
583 826 100
921 937 100
896 981 100
255 850 100
815 946 100
436 925 100
791 922 100
395 803 100
990 1000 100
23 990 100
637 663 100
197 864 100
950 962 100
725 950 100
345 562 100
706 979 100
385 525 100
811 825 100
508 664 100
444 794 100
603 867 100
810 858 100
338 884 100
40 483 100
651 654 100
53 296 100
913 918 100
103 840 100
610 724 100
202 210 100
809 820 100
629 674 100
752 854 100
248 649 100
253 328 100
111 982 100
146 327 100
874 953 100
676 933 100
256 817 100
830 864 100
959 962 100
276 348 100
593 632 100
406 620 100
929 957 100
89 438 100
860 919 100
262 684 100
581 944 100
2 880 100
130 197 100
409 697 100
643 832 100
790 950 100
656 668 100
582 737 100
59 715 100
363 705 100
275 469 100
602 633 100
348 636 100
379 836 100
2 613 100
136 800 100
970 972 100
176 934 100
168 900 100
71 693 100
319 981 100
905 923 100
446 881 100
116 329 100
152 356 100
478 488 100
874 949 100
763 910 100
813 957 100
917 980 100
940 968 100
587 787 100
974 998 100
770 987 100
861 961 100
236 522 100
769 839 100
481 968 100
597 932 100
267 302 100
387 541 100
423 779 100
452 722 100
567 828 100
370 880 100
588 638 100
371 708 100
538 822 100
221 806 100
997 999 100
509 571 100
394 980 100
471 793 100
761 792 100
254 550 100
751 888 100
122 589 100
585 676 100
692 842 100
393 885 100
13 595 100
39 475 100
71 817 100
955 991 100
398 680 100
285 400 100
421 847 100
760 864 100
481 718 100
827 939 100
641 954 100
53 941 100
656 992 100
220 632 100
988 992 100
324 772 100
247 926 100
659 859 100
233 972 100
122 148 100
864 921 100
27 150 100
953 969 100
231 333 100
488 521 100
755 769 100
347 466 100
159 880 100
320 900 100
870 957 100
436 887 100
277 759 100
648 783 100
559 628 100
999 1000 100
854 995 100
429 489 100
970 977 100
67 124 100
61 708 100
61 114 100
571 830 100
506 536 100
44 321 100
637 807 100
311 667 100
984 991 100
128 272 100
567 945 100
165 192 100
118 607 100
264 570 100
978 987 100
797 861 100
658 720 100
995 999 100
703 722 100
18 243 100
374 836 100
685 693 100
470 777 100
212 434 100
418 544 100
607 766 100
455 457 100
991 992 100
502 893 100
689 883 100
910 936 100
172 899 100
131 276 100
172 194 100
912 917 100
674 764 100
338 474 100
983 1000 100
342 790 100
416 522 100
258 337 100
535 705 100
507 613 100
679 871 100
206 947 100
15 787 100
426 944 100
947 985 100
717 788 100
241 553 100
109 495 100
907 985 100
899 902 100
415 599 100
168 359 100
465 836 100
339 461 100
717 766 100
716 771 100
278 888 100
142 696 100
641 841 100
180 301 100
247 275 100
185 701 100
776 934 100
519 563 100
605 899 100
598 762 100
496 927 100
464 957 100
715 989 100
539 819 100
438 796 100
967 987 100
411 901 100
41 279 100
768 794 100
290 406 100
372 567 100
39 898 100
423 584 100
361 679 100
419 523 100
274 529 100
811 901 100
742 860 100
15 713 100
231 361 100
899 978 100
745 796 100
850 894 100
672 920 100
859 873 100
125 478 100
828 835 100
160 778 100
925 959 100
768 906 100
744 769 100
288 901 100
475 809 100
426 480 100
952 972 100
939 960 100
465 757 100
461 821 100
978 997 100
991 993 100
640 689 100
551 658 100
201 914 100
838 939 100
477 564 100
898 973 100
298 988 100
442 853 100
19 450 100
885 914 100
277 549 100
360 703 100
969 972 100
300 828 100
337 384 100
558 877 100
259 456 100
415 832 100
766 882 100
359 518 100
635 784 100
597 865 100
679 885 100
290 872 100
166 326 100
807 968 100
475 586 100
670 809 100
418 423 100
773 977 100
802 828 100
619 740 100
416 918 100
347 640 100
747 859 100
834 951 100
234 832 100
832 941 100
798 927 100
341 599 100
540 804 100
655 831 100
158 439 100
90 688 100
54 809 100
945 978 100
104 650 100
231 648 100
231 538 100
305 832 100
798 842 100
235 839 100
894 902 100
863 884 100
447 499 100
840 923 100
268 609 100
563 631 100
350 702 100
807 875 100
769 933 100
435 891 100
112 156 100
95 528 100
557 737 100
121 531 100
568 840 100
498 582 100
129 628 100
899 943 100
69 971 100
824 983 100
888 939 100
40 873 100
394 987 100
176 239 100
136 342 100
700 908 100
387 663 100
418 643 100
803 845 100
968 973 100
360 600 100
113 643 100
426 805 100
525 937 100
761 919 100
377 380 100
914 934 100
141 556 100
404 513 100
25 758 100
771 878 100
732 844 100
577 825 100
8 621 100
89 183 100
469 685 100
926 966 100
281 460 100
270 547 100
909 969 100
161 435 100
917 998 100
112 762 100
962 979 100
140 322 100
719 994 100
950 951 100
199 229 100
816 873 100
233 655 100
887 977 100
604 727 100
860 942 100
657 858 100
617 925 100
192 640 100
343 497 100
935 957 100
801 886 100
151 888 100
479 871 100
901 913 100
30 215 100
585 607 100
974 997 100
566 882 100
118 875 100
64 868 100
692 861 100
668 959 100
122 677 100
948 957 100
618 818 100
268 662 100
470 495 100
516 625 100
942 964 100
300 583 100
256 748 100
889 906 100
177 890 100
619 979 100
638 767 100
617 630 100
728 993 100
459 872 100
380 687 100
641 903 100
779 957 100
879 953 100
122 835 100
960 990 100
900 985 100
248 955 100
812 899 100
870 963 100
847 980 100
540 627 100
676 750 100
126 398 100
280 463 100
433 600 100
268 394 100
145 227 100
551 923 100
946 961 100
917 984 100
219 566 100
389 543 100
805 912 100
929 935 100
355 399 100
6 713 100
720 830 100
209 747 100
197 496 100
654 827 100
378 834 100
220 307 100
721 919 100
250 332 100
774 896 100
476 624 100
495 601 100
928 938 100
518 827 100
661 681 100
17 667 100
241 826 100
500 638 100
361 705 100
11 493 100
646 684 100
689 862 100
140 384 100
330 589 100
911 945 100
664 841 100
306 642 100
487 637 100
882 885 100
930 998 100
232 486 100
242 314 100
635 726 100
105 255 100
421 650 100
986 990 100
393 687 100
595 909 100
664 687 100
651 799 100
161 237 100
677 835 100
229 631 100
515 576 100
201 475 100
483 574 100
641 908 100
589 752 100
174 618 100
273 381 100
586 594 100
901 1000 100
976 985 100
556 863 100
290 870 100
519 544 100
832 968 100
583 800 100
509 627 100
756 793 100
277 455 100
684 966 100
829 929 100
220 561 100
611 946 100
694 827 100
403 633 100
304 715 100
881 915 100
52 512 100
305 612 100
324 623 100
827 916 100
216 316 100
452 699 100
241 494 100
290 906 100
869 928 100
125 505 100
504 673 100
174 210 100
654 680 100
255 971 100
995 999 100
836 978 100
124 202 100
520 544 100
597 972 100
333 824 100
595 988 100
305 374 100
450 651 100
774 898 100
6 714 100
99 554 100
901 969 100
393 902 100
558 710 100
282 927 100
680 806 100
739 764 100
15 404 100
760 952 100
966 967 100
929 989 100
674 916 100
952 982 100
435 555 100
25 689 100
943 958 100
925 937 100
693 886 100
391 510 100
854 926 100
760 838 100
574 828 100
474 760 100
552 823 100
522 857 100
827 948 100
126 578 100
892 942 100
259 322 100
938 959 100
386 737 100
306 616 100
227 601 100
253 829 100
91 774 100
170 332 100
696 922 100
608 687 100
999 1000 100
349 606 100
849 959 100
211 735 100
371 917 100
984 986 100
548 935 100
779 900 100
415 891 100
999 1000 100
64 801 100
886 889 100
205 891 100
461 673 100
239 772 100
208 763 100
315 776 100
139 364 100
42 275 100
751 943 100
907 939 100
443 935 100
678 735 100
503 560 100
922 939 100
896 934 100
634 807 100
620 815 100
658 832 100
68 645 100
287 420 100
875 992 100
983 984 100
701 902 100
699 737 100
581 604 100
380 899 100
791 833 100
894 972 100
136 995 100
148 989 100
553 855 100
526 687 100
685 733 100
740 909 100
242 612 100
170 462 100
834 867 100
516 867 100
429 742 100
643 715 100
652 930 100
149 705 100
33 576 100
949 996 100
978 994 100
917 988 100
732 926 100
437 686 100
797 966 100
430 756 100
854 903 100
19 140 100
525 845 100
682 940 100
436 713 100
114 972 100
532 765 100
993 994 100
149 822 100
67 806 100
967 978 100
447 597 100
126 507 100
977 996 100
405 487 100
760 973 100
143 661 100
12 441 100
419 830 100
57 787 100
703 842 100
946 950 100
705 789 100
432 890 100
831 835 100
369 794 100
831 924 100
403 744 100
467 507 100
831 964 100
722 779 100
464 753 100
744 779 100
